ACCOUNT,PARENT,ALIAS:_DEFAULT,'STORE',AGGREGATION_(EPBCS)
A_33100,A_30000,33100-Retained Earnings,Store,+
A_45000,A_40000,45000-Revenue - Deductions,Store,+
A_50000,Gross Margin,50000-Material and Goods,Store,+
A_50200,A_50100,50200-Labor Burden Cost,Store,+
A_T,A_All_Corp_Acct_V1,T-Total Accounts,Store,+
A_11103,A_11000,11103-USBNK2 Checking Account,Store,+
A_12150,A_12000,12150-Factored Receipts,Store,+
A_12300,A_12000,12300-Allowance for Bad Dept,Store,+
A_12410,A_12000,12410-Premium and other receivables,Store,+
A_14200,A_14000,14200-Inventory Material Overhead Value,Store,+
A_14400,A_14000,14400-Inventory Resource Value,Store,+
A_14730,A_14000,14730-WIP Overhead Value,Store,+
A_14750,A_14000,14750-WIP Outside Processing Value,Store,+
A_15170,A_15100,15170-Office Equipment,Store,+
A_16150,A_16000,16150-Accum. Depr. Vehicles,Store,+
A_16160,A_16000,16160-Accum. Depr.  Computers and Software,Store,+
A_16200,A_16000,16000-Accum. Depr. Right of Use Assets,Store,+
A_16270,A_16200,16270-Accum. Depr. Right of Use Office Equipment,Store,+
A_22000,A_20000,22000-Accounts Payables,Store,+
A_22120,A_22000,22120-Retained Accounts Payable,Store,+
A_23520,A_23000,23520-Accrued Payroll Taxes,Store,+
A_52120,A_50100,52120-Purchase Price Variance Inter-Org,Store,+
A_60521,A_60500,60521-Meals,Store,+
A_60522,A_60500,60522-Entertainment,Store,+
A_63160,A_63100,63160-Event Fees,Store,+
A_63510,A_63100,63510-Office Rent,Store,+
A_63511,A_63100,63511-Locations Mobilieres,Store,+
A_63531,A_63100,63531-Cleaning,Store,+
A_63541,A_63100,63541-Building Maintenance and Repairs,Store,+
A_63544,A_63100,63544-Facility - Contractor Services,Store,+
Jun2,WFP Periods,Jun-23,Store,+
Aug3,WFP Periods,Aug-24,Store,+
Total FTE Supply,Labor Demand,<none>,Store,+
FTE Staffed Hours incl OT,Hourly Staffing Details,Total Available Hours,Store,+
A_63561,A_63100,63561-Business Liability Insurance,Store,+
A_63610,A_60000,63610-Other Operating Expenses,Store,+
A_64300,A_64000,64300-Legal Fees Assigned Cost,Store,+
A_65300,A_65000,65300-Audit Fees,Store,+
A_68160,A_68000,68160-Depreciation Computers and Software,Store,+
Allocation - Administration,Allocations In,<none>,Store,+
Allocations Out,Allocations,<none>,Store,+
A_78550,A_77001,78550-Rounding,Store,+
A_78990,A_77001,78990-Suspense P&L,Store,+
A_79001,A_70000,79001-Taxes,Store,+
Debt to Equity,Leverage Ratios,<none>,Store,+
Total Asset Turnover,Activity Ratios,<none>,Store,+
Loan Assumptions,Lease Accounts,<none>,Store,+
Loan Term,Loan Assumptions,<none>,Store,+
CX_NPV,Cash Flow Members,NPV,Store,+
EPMO_Accounts,Account,<none>,Store,~
New Employee Job,Workforce - Mass Hiring,<none>,Store,+
New Employee Entity,Workforce - Mass Hiring,<none>,Store,+
Override Job Default Salary Grade,Workforce - Mass Hiring,<none>,Store,+
Changed Entity,Workforce - Mass Hiring,<none>,Store,+
FTE Hourly Rate,Workforce Accts - Custom,<none>,Store,+
Current Staff Production,Workforce Accts - Mfg Custom,<none>,Store,+
Production vs Demand,Workforce Accts - Mfg Custom,<none>,Store,+
OFS_Facilities Expenses Drivers,OFS_Expense Drivers for Forms,null,Store,null
OFS_Square Footage,OFS_Facilities Expenses Drivers,null,Store,null
OFS_Square Footage,OFS_Predefined Facilities Drivers,null,Store,null
OFS_Repair & Maintenance %,OFS_Facilities Expenses Drivers,null,Store,null
OFS_Repair & Maintenance %,OFS_Predefined Facilities Drivers,null,Store,null
First Date,System Members,null,Store,null
Spread_First,System Members,null,Store,null
Spread_Actual_365,System Members,null,Store,null
OCX_periodOffset,System Members,null,Store,null
OCX_periodicPriorAccumDepr,System Members,null,Store,null
OFS_Other COS %,OFS_Revenue Drivers on Forms,null,Store,null
OFS_Other COS %,OFS_Predefined Cost of Sales Drivers,null,Store,null
IT Chargeback Drivers,OFS_Revenue Drivers on Forms,<none>,Store,+
OFS_Product Revenue,OFS_Total Revenue,null,Store,null
OFS_Product Revenue,OFS_Revenue Accounts,null,Store,null
OFS_Product Revenue,OFS_Project Integration,null,Store,null
OFS_Support Revenue,OFS_Revenue Accounts,null,Store,null
OFS_Support Revenue,OFS_Total Revenue,null,Store,null
OFS_Support Revenue,OFS_Project Integration,null,Store,null
OFS_Discounts,OFS_Adjustments to Revenue,null,Store,null
OFS_Discounts,OFS_Revenue Accounts,null,Store,null
OFS_Returns,OFS_Revenue Accounts,null,Store,null
