Account|Parent|Alias: Default|Data Storage|Aggregation (EPBCS)
A68300|Sales & Marketing|68300-Corporate Media|never share|+
A68650|Sales & Marketing|68650-Reputation Mgmt|never share|+
A71600|Production Expenses|71600-Production Telephone|never share|+
A72200|Production Expenses|72200-Production Site Repairs|never share|+
A73600|Production Expenses|73600-Temporary Toilets|never share|+
A74100|Production Expenses|74100-Production - Misc Expense|never share|+
A92100|Interest & Real Estate Taxes|92100-Real Estate Taxes|never share|+
Misc|Net Income|null|dynamic calc|+
A93700|Misc|93700-Gain (Loss) on Sale of Investments|never share|+
A93270|Misc|93270-Sale of Front Foot Benefit Chg|never share|+
A99300|Total Units Started|99300-Units Started - DX|never share|+
Total Units Settled|Total Units|null|dynamic calc|+
A49600|Total Title Policy Income|49600-PA Title Policy Income|never share|+
A49760|Total Title Policy Income|49760-GA Title Policy Income|never share|+
A89140|TOTAL EXPENSES|89140-Medical Insurance|dynamic calc|+
A89270|TOTAL EXPENSES|89270-Dues & Subscriptions|never share|+
A80750|General & Administrative Expenses|80750-Life  & Disability Insurance|never share|+
A80850|General & Administrative Expenses|80850-401(K) Matching|never share|+
A81100|General & Administrative Expenses|81100-Covid-Related Expenses|never share|+
A81700|General & Administrative Expenses|81700-Telephone|never share|+
A82100|General & Administrative Expenses|82100-Computer Support|never share|+
A83200|General & Administrative Expenses|83200-Insurance - Prof & TPA Fees|never share|+
A84050|General & Administrative Expenses|84050-Accounting|never share|+
A85200|General & Administrative Expenses|85200-Dues & Subscriptions|never share|+
Interest & Real Estate Taxes|Net Income|null|dynamic calc|-
A90150|Interest & Real Estate Taxes|90150-Interest Exp - Fifth Third Bank|never share|+
A90950|Interest & Real Estate Taxes|90950-Interest Expense - Homebuilding|never share|+
A91100|Interest & Real Estate Taxes|91100-Loan Fees & Points|never share|+
A53500|Cost of Sales|53500-Options Cost of Sales - 2o2|never share|+
A53510|Cost of Sales|53510-Site Cost of Sales - 2o2|never share|+
A61150|Variable Costs|61150-DRBR Service Fees|never share|+
A44000|Land Development Income|44000-Sales - Developed Lots|never share|+
A60100|Sales & Marketing|60100-Sales Salaries|never share|+
A62150|Sales & Marketing|62150-Advertising - Billboards|never share|+
A62500|Sales & Marketing|62500-Advertising - Web Links & Ads|never share|+
Lots Ahead (Behind)|Lot Inventory|null|dynamic calc|+
Total Sales|WIP Units|null|dynamic calc|+
Total Bonus|Total Comm, Salary, Bonus|null|dynamic calc|+
Management Bonus|Total G&A Bonus|null|never share|+
Settlement Bonus|Total Sales Bonus|null|never share|+
G&A Auto Allowance|Total Auto Allowance|null|never share|+
Area Production Mgr AA|Production Auto Allowance|null|never share|+
A77250|Warranty Service Expenses|77250-Warranty - Vehicle Allowance|never share|+
A77250|Total Auto Allowance|77250-Warranty - Vehicle Allowance|shared|+
Inv Adj/Impairments/LD Spend|Inventory|null|never share|+
Inv Adj/Impairments/LD Spend|Total Inventory|null|shared|+
Inv Adj/Impairments|Inventory|null|never share|+
Inv Adj/Impairments|Total Inventory|null|shared|+
Lots Remaining (Unpaved)|Land Development|null|never share|+
Left to Settle|Land Development|null|never share|+
Total Lots|Community Information|null|never share|+
Approved Lots|Community Information|null|never share|+
SmartList_Counts|Community Information|null|label only|+
SF|SmartList_Counts|Single Family|never share|+
No Category|SmartList_Counts|null|never share|+
Building Fees|Total WIP Inventory|null|never share|+
Lot Cost|Total WIP Inventory|null|never share|+
Revised GM $|Community Gross Margin|null|never share|+
Sales counselor (New)|Total Sales Salaries|null|never share|+
Total Warranty Salaries|Total Comm, Salary|null|dynamic calc|+
Design Center|Total GA Headcount|null|never share|+
A89430|TOTAL EXPENSES|89430-Contract Closers|never share|+
A89630|TOTAL EXPENSES|89630-Equipment Expense (postage mach)|never share|+
Total Capture|Keystone|null|dynamic calc|+
LD Spend Budget CTC|Land Development|null|never share|+
LD Capitalized Interest|Land Development|null|never share|+
Letters of Credit - Performance|Land Development|null|never share|+
Sold_NotStarted_Owned|Calc_Members|null|never share|+
Subordinated Debt|Total Liabilities|null|dynamic calc|+
A33000|Equity|33000-Member Distributions - Rycrew|never share|+
A39998|Retained Earning|39998-Retained Earnings|never share|+
Revenue|Gross Margin|null|dynamic calc|+
A50509|Cost of Sales|50509-Standard Cost of Sales - SF|never share|+
A50520|Cost of Sales|50520-Building Fees - SF|never share|+
A50401|Cost of Sales|50401-PPA Amortization|never share|+
A14101|Total Inventory|14101-Land and Land Dev. Charged to COS|shared|+
A14101|Inventory|14101-Land and Land Dev. Charged to COS|never share|+
A20160|Accounts Payable & Accrued Expenses|20160-Retainage Payable|never share|+
A20170|Accounts Payable & Accrued Expenses|20170-V-Card Liability|never share|+
A21310|Accounts Payable & Accrued Expenses|21310-Accrued Deferred Compensation|never share|+
A21350|Accounts Payable & Accrued Expenses|21350-Accrued Legal|never share|+
A21355|Accounts Payable & Accrued Expenses|21355-Accrued Warranty - Fielding|never share|+
A25350|Accounts Payable & Accrued Expenses|25350-401K & FlexPlan Withheld|never share|+
A31000|Equity|31000-Member Equity - Rycrew|never share|+
A43100|Revenue|43100-Sales - Dup/Villas - Options|never share|+
A50500|Cost of Sales|50500-Options Cost of Sales - SF|never share|+
A51509|Cost of Sales|51509-Standard Cost of Sales - TH|never share|+
Land Acquisition|Inventory|null|never share|+
Land Acquisition|Total Inventory|null|shared|+
A19050 Beg Balance|A19050|19050-Project Deposits Beg Balance|never share|+
A19050 Adj|A19050|19050-Project Deposit Adds (Subtract)|never share|+
A10200|Cash|10200-Cash- JP Morgan|never share|+
A12130|Prepaid Expenses & Other Assets|12130-Due From RyCrew - Other|never share|+
A12300|Prepaid Expenses & Other Assets|12300-Due To/From - Keystone Title Company|never share|+
A12320|Prepaid Expenses & Other Assets|12320-Due To/From - Preserve at Barleywood|never share|+
A12470|Prepaid Expenses & Other Assets|12470-Due To/From DRB Georgia LLC|never share|+
A18151|PP&E|18151-A/D Leasehold Improvements|never share|+
